CustomerID,DateOfBirth(age),ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Totalvisiting,DateofBirth,Date(birth),Month(birth),Year(birth),TypeofContact(Allias),NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,Gender,MaritalStatus(Allias),NumberOfChildren
200014,1997-01,1,28.0,Self Enquiry,1,30.0,Salaried,2.0,2013-06-03,3,6,2013,SE,4.0,Basic,3.0,Single,6.0,1,2,0,Executive,17028.0,Male,MS,0
200015,1996-01,0,29.0,Self Enquiry,1,27.0,Salaried,3.0,2014-11-07,7,11,2014,SE,2.0,Standard,5.0,Married,2.0,0,5,1,Senior Manager,24980.0,Female,FM,2
200016,1993-01,0,32.0,Self Enquiry,1,11.0,Salaried,3.0,2015-06-23,23,6,2015,SE,2.0,Basic,4.0,Married,1.0,1,2,1,Executive,18298.0,Male,MM,2
200017,2003-01,0,22.0,Company Invited,1,22.0,Small Business,3.0,2012-04-12,12,4,2012,CI,2.0,Basic,3.0,Married,2.0,1,3,0,Executive,17935.0,Male,MM,0
200018,1972-01,0,53.0,Self Enquiry,3,8.0,Salaried,3.0,2011-04-20,20,4,2011,SE,4.0,Super Deluxe,3.0,Divorced,3.0,0,3,1,AVP,30427.0,Female,FD,0
200019,1989-01,0,36.0,Self Enquiry,1,8.0,Salaried,3.0,2012-04-18,18,4,2012,SE,3.0,Basic,3.0,Single,6.0,1,4,0,Executive,22347.0,Male,MS,0
200020,1989-01,0,36.0,Company Invited,1,17.0,Salaried,5.0,2012-08-29,29,8,2012,CI,2.0,Deluxe,3.0,Married,1.0,0,3,1,Manager,22347.0,Female,FM,3
200021,1989-01,1,36.0,Self Enquiry,3,15.0,Salaried,2.0,2013-08-21,21,8,2013,SE,4.0,Deluxe,5.0,Single,1.0,0,2,0,Manager,18407.0,Male,MS,0
200022,1991-01,0,34.0,Self Enquiry,1,13.0,Salaried,2.0,2014-05-04,4,5,2014,SE,3.0,Standard,4.0,Unmarried,1.0,0,3,1,Senior Manager,26994.0,Female,FU,0
200023,2004-01,0,21.0,Self Enquiry,1,21.0,Salaried,4.0,2014-05-26,26,5,2014,SE,3.0,Basic,3.0,Single,2.0,0,3,1,Executive,16232.0,Male,MS,0
200024,1991-01,1,34.0,Self Enquiry,1,12.0,Small Business,3.0,2013-02-06,6,2,2013,SE,3.0,Basic,5.0,Single,3.0,0,2,1,Executive,17960.0,Male,MS,0
200025,1972-01,0,53.0,Self Enquiry,1,11.0,Salaried,3.0,2014-11-27,27,11,2014,SE,3.0,King,3.0,Married,5.0,0,5,0,VP,34094.0,Female,FM,3
200026,1989-01,1,36.0,Company Invited,1,22.0,Salaried,5.0,2014-06-02,2,6,2014,CI,5.0,Basic,5.0,Single,2.0,1,4,1,Executive,22347.0,Female,FS,0
200027,1983-01,0,42.0,Self Enquiry,3,14.0,Small Business,3.0,2013-11-10,10,11,2013,SE,3.0,Deluxe,4.0,Divorced,1.0,0,3,0,Manager,21825.0,Male,MD,0
200028,1981-01,0,44.0,Self Enquiry,1,13.0,Small Business,2.0,2015-09-01,1,9,2015,SE,4.0,Standard,3.0,Divorced,4.0,0,4,1,Senior Manager,25248.0,Female,FD,0
200029,1979-01,0,46.0,Self Enquiry,3,8.0,Small Business,3.0,2013-02-27,27,2,2013,SE,3.0,King,5.0,Single,4.0,0,2,0,VP,33947.0,Female,FS,0
200030,1992-01,0,33.0,Self Enquiry,1,8.0,Small Business,5.0,2014-04-08,8,4,2014,SE,3.0,Basic,3.0,Single,5.0,0,3,1,Executive,17496.0,Male,MS,0
200031,1981-01,0,44.0,Self Enquiry,1,16.0,Salaried,3.0,2015-09-27,27,9,2015,SE,3.0,Deluxe,3.0,Divorced,3.0,1,3,1,Manager,21465.0,Male,MD,0
200032,1995-01,0,30.0,Self Enquiry,1,15.0,Small Business,3.0,2012-04-01,1,4,2012,SE,4.0,Basic,3.0,Single,2.0,0,4,1,Executive,17206.0,Male,MS,0
200033,1986-01,1,39.0,Self Enquiry,3,11.0,Large Business,3.0,2012-12-12,12,12,2012,SE,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,17086.0,Male,MD,0
200034,2001-01,1,24.0,Self Enquiry,1,6.0,Small Business,5.0,2010-01-15,15,1,2010,SE,3.0,Basic,3.0,Divorced,3.0,1,3,1,Executive,17293.0,Male,MD,0
200035,1982-01,0,43.0,Self Enquiry,1,8.0,Small Business,4.0,2012-11-19,19,11,2012,SE,2.0,Basic,3.0,Married,2.0,0,2,0,Executive,17645.0,Female,FM,2
200036,1975-01,1,50.0,Self Enquiry,3,9.0,Small Business,2.0,2010-10-15,15,10,2010,SE,4.0,Basic,3.0,Divorced,2.0,1,4,0,Executive,17683.0,Male,MD,0
200037,1990-01,0,35.0,Self Enquiry,3,8.0,Small Business,3.0,2013-04-13,13,4,2013,SE,3.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,17014.0,Female,FD,0
200038,1989-01,0,36.0,Self Enquiry,1,11.0,Salaried,2.0,2012-03-15,15,3,2012,SE,4.0,Basic,3.0,Divorced,1.0,1,2,1,Executive,95000.0,Female,FD,0
200039,1992-01,0,33.0,Company Invited,3,6.0,Salaried,2.0,2014-05-27,27,5,2014,CI,2.0,Deluxe,5.0,Divorced,3.0,0,3,1,Manager,20376.0,Female,FD,0
200040,1990-01,0,35.0,Self Enquiry,1,10.0,Salaried,3.0,2011-04-28,28,4,2011,SE,3.0,Basic,3.0,Married,2.0,0,4,0,Executive,16951.0,Male,MM,0
200041,1998-01,0,27.0,Self Enquiry,1,8.0,Salaried,3.0,2011-05-13,13,5,2011,SE,3.0,Basic,5.0,Married,2.0,0,3,0,Executive,17341.0,Female,FM,3
200042,1999-01,1,26.0,Self Enquiry,1,31.0,Salaried,3.0,2014-02-23,23,2,2014,SE,5.0,Basic,3.0,Single,2.0,0,2,1,Executive,17293.0,Male,MS,0
200043,1998-01,0,27.0,Company Invited,3,14.0,Salaried,2.0,2011-11-09,9,11,2011,CI,3.0,Standard,3.0,Unmarried,2.0,0,2,1,Senior Manager,23726.0,Male,MU,0
200044,1989-01,0,36.0,Company Invited,1,6.0,Small Business,2.0,2011-08-02,2,8,2011,CI,3.0,Deluxe,3.0,Single,2.0,0,3,1,Manager,22347.0,Female,FS,0
200045,1984-01,1,41.0,Self Enquiry,1,18.0,Large Business,2.0,2012-05-05,5,5,2012,SE,3.0,King,3.0,Divorced,2.0,0,4,1,VP,34545.0,Female,FD,0
200046,1991-01,0,34.0,Company Invited,3,13.0,Small Business,4.0,2011-02-07,7,2,2011,CI,3.0,Deluxe,3.0,Single,1.0,0,5,1,Manager,19568.0,Male,MS,0
200047,1988-01,0,37.0,Self Enquiry,1,25.0,Salaried,4.0,2013-05-12,12,5,2013,SE,3.0,Basic,4.0,Divorced,5.0,0,4,1,Executive,18022.0,Male,MD,0
200048,1979-01,0,46.0,Company Invited,3,11.0,Small Business,4.0,2010-06-09,9,6,2010,CI,3.0,Deluxe,3.0,Single,5.0,1,5,1,Manager,20772.0,Male,MS,0
200049,1990-01,0,35.0,Self Enquiry,1,14.0,Salaried,3.0,2010-07-18,18,7,2010,SE,2.0,Basic,3.0,Divorced,2.0,0,5,1,Executive,17269.0,Male,MD,0
200050,1977-01,1,48.0,Self Enquiry,1,6.0,Salaried,5.0,2013-02-05,5,2,2013,SE,4.0,Standard,3.0,Single,1.0,1,5,0,Senior Manager,20381.0,Male,MS,0
200051,1989-01,1,36.0,Self Enquiry,1,11.0,Large Business,2.0,2011-06-01,1,6,2011,SE,3.0,Basic,3.0,Single,2.0,1,2,1,Executive,18441.0,Male,MS,0
200052,1981-01,0,44.0,Self Enquiry,3,6.0,Small Business,3.0,2014-01-28,28,1,2014,SE,3.0,Deluxe,5.0,Married,6.0,1,2,0,Manager,20454.0,Female,FM,1
200053,1990-01,0,35.0,Company Invited,1,17.0,Small Business,4.0,2012-06-21,21,6,2012,CI,4.0,Standard,5.0,Divorced,3.0,1,5,1,Senior Manager,24884.0,Male,MD,0
200054,1989-01,0,36.0,Self Enquiry,3,29.0,Small Business,2.0,2014-02-14,14,2,2014,SE,4.0,Deluxe,3.0,Divorced,1.0,1,2,1,Manager,22347.0,Female,FD,0
200055,1992-01,0,33.0,Company Invited,1,6.0,Salaried,3.0,2014-01-01,1,1,2014,CI,3.0,Standard,3.0,Unmarried,2.0,1,2,1,Senior Manager,28458.0,Female,FU,0
200056,1990-01,0,35.0,Company Invited,3,24.0,Salaried,3.0,2010-05-17,17,5,2010,CI,3.0,Standard,5.0,Divorced,2.0,0,4,1,Senior Manager,24069.0,Male,MD,0
200057,1989-01,0,36.0,Self Enquiry,1,29.0,Small Business,1.0,2015-03-10,10,3,2015,SE,3.0,Basic,5.0,Divorced,4.0,1,4,1,Executive,22347.0,Female,FD,0
200058,1994-01,0,31.0,Self Enquiry,1,13.0,Salaried,2.0,2011-09-23,23,9,2011,SE,3.0,Deluxe,3.0,Married,4.0,0,3,1,Manager,20915.0,Male,MM,0
200059,1988-01,0,37.0,Self Enquiry,1,6.0,Salaried,3.0,2013-02-01,1,2,2013,SE,4.0,Deluxe,3.0,Married,2.0,0,5,1,Manager,20993.0,Male,MM,0
200060,1993-01,0,32.0,Self Enquiry,1,6.0,Small Business,2.0,2011-02-26,26,2,2011,SE,3.0,Deluxe,3.0,Divorced,2.0,1,4,1,Manager,21162.0,Male,MD,0
200061,1987-01,0,38.0,Company Invited,1,35.0,Salaried,2.0,2012-12-04,4,12,2012,CI,3.0,Deluxe,3.0,Single,2.0,0,3,1,Manager,17406.0,Female,FS,0
200062,1975-01,0,50.0,Self Enquiry,1,13.0,Small Business,3.0,2015-03-23,23,3,2015,SE,4.0,King,3.0,Married,6.0,1,4,1,VP,33740.0,Female,FM,2
200063,1966-01,0,59.0,Self Enquiry,3,31.0,Salaried,2.0,2013-01-11,11,1,2013,SE,3.0,Standard,5.0,Unmarried,1.0,0,3,1,Senior Manager,22637.0,Female,FU,0
200064,1989-01,0,36.0,Self Enquiry,1,14.0,Large Business,3.0,2014-04-14,14,4,2014,SE,3.0,Standard,3.0,Married,2.0,0,4,1,Senior Manager,25096.0,Female,FM,0
200065,1970-01,0,55.0,Self Enquiry,1,14.0,Small Business,3.0,2015-01-26,26,1,2015,SE,3.0,Super Deluxe,3.0,Married,3.0,1,3,0,AVP,29756.0,Female,FM,0
200066,1989-01,0,36.0,Company Invited,1,17.0,Salaried,4.0,2013-03-03,3,3,2013,CI,4.0,Deluxe,4.0,Unmarried,2.0,0,4,1,Manager,21499.0,Male,MU,0
200067,1980-01,0,45.0,Self Enquiry,1,13.0,Salaried,3.0,2011-11-07,7,11,2011,SE,3.0,Standard,5.0,Married,3.0,0,3,1,Senior Manager,24724.0,Male,MM,2
200068,1990-01,0,35.0,Company Invited,1,6.0,Small Business,4.0,2015-07-09,9,7,2015,CI,3.0,Basic,5.0,Divorced,5.0,0,2,0,Executive,17194.0,Male,MD,0
200069,1989-01,1,36.0,Self Enquiry,1,15.0,Small Business,4.0,2011-08-20,20,8,2011,SE,4.0,Basic,3.0,Divorced,1.0,1,2,0,Executive,18388.0,Male,MD,0
200070,1966-01,0,59.0,Company Invited,3,6.0,Salaried,3.0,2012-06-04,4,6,2012,CI,4.0,Deluxe,3.0,Single,1.0,0,5,1,Manager,20473.0,Female,FS,0
200071,1996-01,0,29.0,Self Enquiry,1,8.0,Salaried,3.0,2011-02-13,13,2,2011,SE,3.0,Basic,4.0,Divorced,1.0,0,4,0,Executive,17703.0,Male,MD,0
200072,1994-01,0,31.0,Self Enquiry,1,6.0,Small Business,2.0,2015-10-22,22,10,2015,SE,3.0,Basic,4.0,Single,2.0,0,3,0,Executive,17501.0,Male,MS,0
200073,1993-01,0,32.0,Self Enquiry,1,6.0,Salaried,3.0,2013-02-20,20,2,2013,SE,3.0,Deluxe,4.0,Divorced,2.0,0,3,0,Manager,21220.0,Male,MD,0
200074,1989-01,0,36.0,Self Enquiry,1,12.0,Salaried,2.0,2012-03-29,29,3,2012,SE,2.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,18038.0,Female,FD,0
200075,1994-01,0,31.0,Self Enquiry,1,13.0,Salaried,4.0,2013-10-23,23,10,2013,SE,3.0,Deluxe,3.0,Single,2.0,0,5,0,Manager,22347.0,Female,FS,0
200076,1990-01,0,35.0,Self Enquiry,3,13.0,Small Business,3.0,2014-10-21,21,10,2014,SE,4.0,Deluxe,5.0,Single,1.0,0,2,0,Manager,22347.0,Male,MS,0
200077,1980-01,0,45.0,Self Enquiry,1,12.0,Salaried,2.0,2010-06-20,20,6,2010,SE,3.0,Standard,5.0,Divorced,5.0,1,3,0,Senior Manager,28245.0,Male,MD,0
200078,1988-01,0,37.0,Self Enquiry,1,13.0,Small Business,1.0,2014-02-14,14,2,2014,SE,3.0,Standard,3.0,Single,5.0,0,2,0,Senior Manager,28664.0,Male,MS,0
200079,1979-01,0,46.0,Self Enquiry,2,11.0,Small Business,4.0,2014-05-07,7,5,2014,SE,4.0,Deluxe,4.0,Married,1.0,1,5,0,Manager,20021.0,Male,MM,3
200080,1995-01,0,30.0,Self Enquiry,1,6.0,Salaried,3.0,2010-08-16,16,8,2010,SE,4.0,Deluxe,3.0,Divorced,2.0,1,2,1,Manager,20126.0,Male,MD,0
200081,1990-01,0,35.0,Self Enquiry,1,6.0,Small Business,1.0,2013-07-21,21,7,2013,SE,4.0,Basic,3.0,Single,2.0,0,4,1,Executive,17859.0,Male,MS,0
200082,1970-01,0,55.0,Self Enquiry,3,6.0,Salaried,4.0,2014-04-22,22,4,2014,SE,3.0,Standard,3.0,Divorced,4.0,0,2,0,Senior Manager,25239.0,Male,MD,0
200083,1987-01,0,38.0,Company Invited,1,12.0,Small Business,5.0,2010-02-15,15,2,2010,CI,5.0,Deluxe,3.0,Married,1.0,1,2,0,Manager,20329.0,Female,FM,3
200084,1991-01,0,34.0,Self Enquiry,1,13.0,Small Business,3.0,2013-08-04,4,8,2013,SE,3.0,Deluxe,4.0,Divorced,2.0,0,5,0,Manager,22347.0,Male,MD,0
200085,1969-01,0,56.0,Self Enquiry,1,13.0,Salaried,2.0,2014-10-06,6,10,2014,SE,5.0,Standard,3.0,Unmarried,5.0,0,2,0,Senior Manager,22260.0,Male,MU,0
200086,2002-01,0,23.0,Self Enquiry,3,8.0,Large Business,4.0,2012-09-15,15,9,2012,SE,3.0,Basic,5.0,Married,4.0,0,3,1,Executive,17322.0,Male,MM,3
200087,1974-01,0,51.0,Self Enquiry,1,15.0,Salaried,3.0,2011-09-28,28,9,2011,SE,3.0,Basic,3.0,Divorced,4.0,0,3,1,Executive,17075.0,Male,MD,0
200088,1989-01,0,36.0,Self Enquiry,1,8.0,Salaried,2.0,2015-10-03,3,10,2015,SE,4.0,Deluxe,3.0,Divorced,2.0,0,4,1,Manager,22347.0,Male,MD,0
200089,1979-01,1,46.0,Self Enquiry,3,15.0,Small Business,4.0,2014-04-20,20,4,2014,SE,4.0,Standard,3.0,Unmarried,2.0,0,5,0,Senior Manager,24619.0,Male,MU,0
200090,1985-01,0,40.0,Company Invited,1,6.0,Salaried,5.0,2013-07-18,18,7,2013,CI,4.0,Super Deluxe,4.0,Divorced,2.0,0,2,1,AVP,28503.0,Male,MD,0
200091,1974-01,0,51.0,Self Enquiry,3,27.0,Small Business,4.0,2011-06-05,5,6,2011,SE,3.0,Deluxe,3.0,Single,1.0,1,5,1,Manager,20441.0,Male,MS,0
200092,1995-01,0,30.0,Self Enquiry,3,10.0,Small Business,4.0,2012-11-09,9,11,2012,SE,4.0,Deluxe,4.0,Married,2.0,1,3,1,Manager,20209.0,Female,FM,2
200093,1979-01,0,46.0,Company Invited,1,6.0,Small Business,3.0,2014-05-16,16,5,2014,CI,4.0,Standard,5.0,Divorced,3.0,1,2,1,Senior Manager,25673.0,Male,MD,0
200094,1993-01,0,32.0,Self Enquiry,3,12.0,Small Business,2.0,2013-01-25,25,1,2013,SE,4.0,Deluxe,3.0,Single,2.0,0,5,1,Manager,20010.0,Male,MS,0
200095,1971-01,0,54.0,Self Enquiry,1,8.0,Large Business,2.0,2012-10-25,25,10,2012,SE,3.0,Standard,3.0,Divorced,1.0,0,4,1,Senior Manager,28549.0,Female,FD,0
200096,2001-01,0,24.0,Self Enquiry,3,9.0,Salaried,2.0,2011-01-19,19,1,2011,SE,4.0,Deluxe,3.0,Divorced,1.0,0,4,1,Manager,19999.0,Female,FD,0
200097,1989-01,0,36.0,Company Invited,3,10.0,Small Business,2.0,2013-06-02,2,6,2013,CI,3.0,Deluxe,3.0,Divorced,2.0,0,2,1,Manager,22347.0,Male,MD,0
200098,1967-01,0,58.0,Self Enquiry,3,16.0,Small Business,3.0,2015-04-12,12,4,2015,SE,3.0,Super Deluxe,3.0,Single,1.0,0,3,1,AVP,28872.0,Male,MS,0
200099,1981-01,0,44.0,Company Invited,1,29.0,Small Business,3.0,2010-03-14,14,3,2010,CI,3.0,Deluxe,4.0,Divorced,5.0,0,3,1,Manager,17042.0,Male,MD,0
200100,1988-01,1,37.0,Self Enquiry,2,12.0,Salaried,3.0,2010-11-20,20,11,2010,SE,3.0,Basic,5.0,Married,5.0,1,2,1,Executive,17073.0,Male,MM,4
200101,1993-01,0,32.0,Self Enquiry,1,6.0,Salaried,5.0,2012-04-13,13,4,2012,SE,3.0,Basic,5.0,Single,2.0,0,2,0,Executive,17956.0,Male,MS,0
200102,2005-01,1,20.0,Company Invited,1,12.0,Salaried,4.0,2013-05-22,22,5,2013,CI,4.0,Basic,3.0,Single,2.0,1,2,1,Executive,17926.0,Female,FS,0
200103,1991-01,0,34.0,Self Enquiry,1,13.0,Salaried,2.0,2010-11-19,19,11,2010,SE,3.0,Deluxe,3.0,Single,2.0,0,3,1,Manager,19809.0,Female,FS,0
200104,1988-01,0,37.0,Company Invited,1,8.0,Salaried,4.0,2012-06-07,7,6,2012,CI,4.0,Deluxe,3.0,Married,6.0,0,2,0,Manager,20163.0,Male,MM,2
200105,1966-01,0,59.0,Company Invited,2,8.0,Salaried,3.0,2010-12-04,4,12,2010,CI,4.0,King,3.0,Divorced,1.0,0,2,1,VP,33844.0,Female,FD,0
200106,1975-01,0,50.0,Company Invited,1,6.0,Salaried,5.0,2010-02-02,2,2,2010,CI,3.0,King,4.0,Divorced,4.0,1,2,0,VP,33172.0,Female,FD,0
200107,2000-01,1,25.0,Self Enquiry,3,11.0,Small Business,2.0,2010-12-23,23,12,2010,SE,4.0,Deluxe,3.0,Single,2.0,1,3,1,Manager,20744.0,Male,MS,0
200108,2000-01,0,25.0,Self Enquiry,1,13.0,Small Business,5.0,2014-10-10,10,10,2014,SE,4.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,17889.0,Male,MD,0
200109,2003-01,0,22.0,Self Enquiry,1,21.0,Small Business,3.0,2015-07-14,14,7,2015,SE,3.0,Basic,3.0,Single,2.0,0,2,1,Executive,17871.0,Female,FS,0
200110,1974-01,0,51.0,Company Invited,1,6.0,Small Business,1.0,2013-08-22,22,8,2013,CI,4.0,Standard,5.0,Unmarried,4.0,0,2,1,Senior Manager,22484.0,Female,FU,0
200111,1991-01,1,34.0,Company Invited,1,13.0,Salaried,4.0,2014-01-01,1,1,2014,CI,5.0,Deluxe,3.0,Single,2.0,1,5,1,Manager,21074.0,Male,MS,0
200112,1971-01,0,54.0,Company Invited,2,32.0,Salaried,1.0,2011-04-13,13,4,2011,CI,2.0,Super Deluxe,3.0,Single,3.0,1,3,1,AVP,32328.0,Female,FS,0
200113,2001-01,0,24.0,Self Enquiry,1,24.0,Salaried,2.0,2011-08-27,27,8,2011,SE,3.0,Basic,3.0,Divorced,1.0,0,4,1,Executive,17774.0,Male,MD,0
200114,1991-01,0,34.0,Self Enquiry,1,13.0,Salaried,3.0,2010-09-18,18,9,2010,SE,4.0,Deluxe,4.0,Married,7.0,0,3,0,Manager,19505.0,Female,FM,1
200115,1988-01,0,37.0,Self Enquiry,3,9.0,Salaried,2.0,2013-03-22,22,3,2013,SE,3.0,Standard,3.0,Unmarried,3.0,0,3,0,Senior Manager,22428.0,Male,MU,0
200116,1991-01,0,34.0,Self Enquiry,1,11.0,Small Business,2.0,2010-11-21,21,11,2010,SE,4.0,Standard,5.0,Unmarried,3.0,0,2,0,Senior Manager,26631.0,Female,FU,0
200117,1989-01,0,36.0,Company Invited,3,17.0,Large Business,3.0,2015-01-21,21,1,2015,CI,3.0,Standard,3.0,Divorced,1.0,0,5,0,Senior Manager,24738.0,Female,FD,0
200118,1989-01,0,36.0,Self Enquiry,1,9.0,Salaried,2.0,2011-05-29,29,5,2011,SE,3.0,Basic,3.0,Married,6.0,0,2,1,Executive,17835.0,Female,FM,0
200119,1982-01,0,43.0,Company Invited,3,32.0,Salaried,3.0,2010-06-09,9,6,2010,CI,3.0,Super Deluxe,3.0,Divorced,2.0,1,2,0,AVP,31959.0,Male,MD,0
200120,1995-01,0,30.0,Company Invited,1,29.0,Salaried,5.0,2010-08-23,23,8,2010,CI,5.0,Basic,3.0,Married,2.0,0,3,1,Executive,17613.0,Male,MM,4
200121,1992-01,0,33.0,Company Invited,3,28.0,Small Business,4.0,2013-11-22,22,11,2013,CI,3.0,Deluxe,4.0,Divorced,1.0,0,2,0,Manager,21146.0,Male,MD,0
200122,1969-01,1,56.0,Self Enquiry,1,20.0,Salaried,4.0,2014-01-10,10,1,2014,SE,4.0,Basic,4.0,Divorced,1.0,1,5,1,Executive,19963.0,Female,FD,0
200123,1974-01,0,51.0,Self Enquiry,1,12.0,Salaried,2.0,2011-05-06,6,5,2011,SE,3.0,King,3.0,Single,1.0,0,5,1,VP,34537.0,Male,MS,0
200124,1994-01,1,31.0,Self Enquiry,3,12.0,Salaried,4.0,2015-01-31,31,1,2015,SE,5.0,Deluxe,3.0,Divorced,5.0,1,3,1,Manager,21172.0,Male,MD,0
200125,1999-01,0,26.0,Self Enquiry,1,12.0,Salaried,2.0,2015-08-03,3,8,2015,SE,4.0,Basic,4.0,Divorced,2.0,0,3,1,Executive,17368.0,Female,FD,0
200126,1967-01,1,58.0,Self Enquiry,1,29.0,Small Business,3.0,2014-10-13,13,10,2014,SE,3.0,Standard,3.0,Divorced,2.0,0,3,1,Senior Manager,25312.0,Female,FD,0
200127,2006-01,1,19.0,Self Enquiry,3,28.0,Small Business,3.0,2015-09-12,12,9,2015,SE,3.0,Basic,3.0,Single,2.0,1,2,0,Executive,16675.0,Male,MS,0
200128,2003-01,0,22.0,Self Enquiry,1,8.0,Large Business,5.0,2011-07-19,19,7,2011,SE,3.0,Basic,3.0,Divorced,1.0,0,5,1,Executive,17523.0,Male,MD,0
200129,1976-01,0,49.0,Self Enquiry,1,26.0,Small Business,5.0,2015-01-28,28,1,2015,SE,3.0,Deluxe,5.0,Divorced,2.0,0,2,1,Manager,21567.0,Female,FD,0
200130,1982-01,0,43.0,Company Invited,1,13.0,Small Business,5.0,2013-03-12,12,3,2013,CI,2.0,Basic,3.0,Single,5.0,0,3,0,Executive,19739.0,Female,FS,0
200131,1975-01,0,50.0,Company Invited,3,18.0,Small Business,3.0,2010-12-13,13,12,2010,CI,3.0,Standard,3.0,Unmarried,5.0,0,5,0,Senior Manager,24208.0,Female,FU,0
200132,1994-01,1,31.0,Self Enquiry,3,13.0,Salaried,3.0,2014-02-15,15,2,2014,SE,5.0,Deluxe,3.0,Divorced,4.0,1,3,1,Manager,19559.0,Female,FD,0
200133,1984-01,0,41.0,Self Enquiry,3,15.0,Salaried,4.0,2012-04-25,25,4,2012,SE,3.0,Standard,3.0,Married,4.0,1,2,0,Senior Manager,23189.0,Male,MM,1
200134,1999-01,0,26.0,Self Enquiry,2,31.0,Salaried,3.0,2013-12-28,28,12,2013,SE,3.0,Basic,3.0,Divorced,2.0,0,4,1,Executive,17942.0,Female,FD,0
200135,1989-01,0,36.0,Self Enquiry,1,12.0,Small Business,3.0,2010-07-04,4,7,2010,SE,4.0,Deluxe,4.0,Married,7.0,0,4,1,Manager,19941.0,Male,MM,3
200136,1974-01,1,51.0,Company Invited,1,14.0,Salaried,3.0,2010-12-18,18,12,2010,CI,5.0,Standard,3.0,Unmarried,3.0,0,2,0,Senior Manager,25650.0,Male,MU,0
200137,1986-01,0,39.0,Self Enquiry,3,10.0,Salaried,2.0,2015-05-30,30,5,2015,SE,4.0,Deluxe,3.0,Divorced,5.0,0,5,1,Manager,20902.0,Female,FD,0
